customerId,customer_account,customer_name,date_of_birth,gender,address,phone_number,account_currency,balance,channel
75304,4.1609E+11,Innocent Gilbert,4/12/2000,Male,Kicukiro,2.50775E+11,RWF,403200.76,"Internet Banking, USSD"
98538,5.37714E+11,Innocent Campbell,4/3/1960,Male,Nyagatare,2.50763E+11,RWF,3791696.55,USSD
22507,4.69233E+11,Innocent Ritter,4/5/1980,Male,Nyamasheke,2.50713E+11,RWF,2822529.51,"Internet Banking, USSD, Mobile Banking"
25173,6.61725E+11,Diane Mitchell,8/10/1948,Female,Musanze,2.5078E+11,RWF,2618378.45,"USSD, Mobile Banking, Internet Banking"
69267,6.26539E+11,Didier Ponce,4/1/1952,Female,Gicumbi,2.50721E+11,RWF,1036147.38,"USSD, Internet Banking"
14048,7.93336E+11,Esther Payne,6/12/2006,Female,Kicukiro,2.50733E+11,RWF,3634985.25,"Internet Banking, Mobile Banking, USSD"
70313,5.79738E+11,Chantal Miller,10/29/1993,Female,Nyarugenge,2.50711E+11,RWF,2334867.64,"Mobile Banking, USSD, Internet Banking"
95638,6.54907E+11,Fabrice Graham,5/6/1990,Female,Rwamagana,2.5076E+11,RWF,2967785.26,USSD
46902,3.06394E+11,Diane Nichols,8/7/1958,Female,Nyamasheke,2.50719E+11,RWF,1826529.24,Mobile Banking
60156,2.08573E+11,Patrick Merritt,9/15/1961,Male,Nyarugenge,2.50795E+11,RWF,1362762.45,Mobile Banking
37652,7.59805E+11,Innocent Roberts,5/31/1962,Female,Rusizi,2.50744E+11,RWF,4032868.69,"Internet Banking, USSD"
92653,9.27556E+11,Sandrine Campbell,4/15/1951,Male,Kayonza,2.50719E+11,RWF,2520953.23,"Mobile Banking, Internet Banking, USSD"
41156,3.72123E+11,Grace Sparks,8/21/1960,Female,Rwamagana,2.50754E+11,RWF,1420830.17,Mobile Banking
49140,6.02784E+11,Jean Evans,5/30/1974,Female,Huye,2.50761E+11,RWF,4373144.82,"USSD, Mobile Banking"
15010,3.37082E+11,Marie James,9/18/2007,Female,Musanze,2.50756E+11,RWF,27664.08,Internet Banking
30331,2.73131E+11,Diane Chaney,5/26/1948,Male,Gatsibo,2.50773E+11,RWF,4040502.69,Internet Banking
65136,2.50069E+11,Josiane Willis,12/16/1973,Male,Nyamasheke,2.50763E+11,RWF,4898019.03,USSD
84726,7.34712E+11,Esther Dixon,4/2/1975,Male,Gatsibo,2.50726E+11,RWF,4274017.98,"Mobile Banking, USSD"
22989,5.24511E+11,Sandrine Olson,1/27/1972,Female,Gicumbi,2.50732E+11,RWF,2216116.79,USSD
59414,3.60944E+11,Claude Sanchez,8/29/1988,Female,Rulindo,2.50792E+11,RWF,2747062.54,"Mobile Banking, Internet Banking, USSD"
33630,3.78693E+11,Emmanuel Rivera,4/20/1947,Male,Nyagatare,2.50752E+11,RWF,2564307.77,"USSD, Internet Banking, Mobile Banking"
53060,6.6842E+11,Marie Bradford,3/4/1955,Male,Rusizi,2.50764E+11,RWF,201960.58,"USSD, Mobile Banking"
61521,4.67681E+11,Jean Santiago,8/1/1976,Male,Bugesera,2.50788E+11,RWF,4669102.41,"Mobile Banking, USSD"
57554,3.74267E+11,Emmanuel Ross,9/10/1964,Female,Nyarugenge,2.50796E+11,RWF,2617996.15,"Mobile Banking, Internet Banking, USSD"
